岸　　　　　　　　　　　　　　　　　　　ぎし　　　　　　　　　　　　　　　　　　,NB7.     ,
北　　　　　　　　　　　　　　　　　　　きた　　　　　　　　　　　　　　　　　　,NB7.     ,
キチ　　　　　　　　　　　　　　　　　　きち　　　　　　　　　　　　　　　　　　,CB .  N  ,
きっちり　　　　　　　　　　　　　　　　きっちり　　　　　　　　　　　　　　　　,CB .     ,
切っての　　　　　　　　　　　　　　　　きっての　　　　　　　　　　　　　　　　,RB .     ,
気味　　　　　　　　　　　　　　　　　　ぎみ　　　　　　　　　　　　　　　　　　,CB .     ,
決め　　　　　　　　　　　　　　　　　　ぎめ　　　　　　　　　　　　　　　　　　,CB .     ,
客　　　　　　　　　　　　　　　　　　　きゃく　　　　　　　　　　　　　　　　　,NB4.     ,
給　　　　　　　　　　　　　　　　　　　きゅう　　　　　　　　　　　　　　　　　,NB .     ,
級　　　　　　　　　　　　　　　　　　　きゅう　　　　　　　　　　　　　　　　　,CB .     ,
球　　　　　　　　　　　　　　　　　　　きゅう　　　　　　　　　　　　　　　　　,NBB.     ,
休　　　　　　　　　　　　　　　　　　　きゅう　　　　　　　　　　　　　　　　　,NB1.     ,
牛　　　　　　　　　　　　　　　　　　　ぎゅう　　　　　　　　　　　　　　　　　,NBB.     ,
魚　　　　　　　　　　　　　　　　　　　ぎょ　　　　　　　　　　　　　　　　　　,BBB.     ,
鏡　　　　　　　　　　　　　　　　　　　きょう　　　　　　　　　　　　　　　　　,NBB.     ,
狂　　　　　　　　　　　　　　　　　　　きょう　　　　　　　　　　　　　　　　　,CB .     ,
橋　　　　　　　　　　　　　　　　　　　きょう　　　　　　　　　　　　　　　　　,NB7.     ,
教　　　　　　　　　　　　　　　　　　　きょう　　　　　　　　　　　　　　　　　,NB5.     ,
